Chinese Name,English Name,Description,Location,Date,URL
池鷺,Ardeola bacchus,常在飛行時因其全白的翅膀被誤認做是白鷺，但其黑色頭部將其與其他白鷺區分開。這種中等體型的鷺遍布許多不同的沼澤棲息地。繁殖期成鳥有栗色的頭部，頸部和胸部，白色的翅膀上有一層藍黑色的羽毛。非繁殖成鳥和亞成鳥除白色的翅膀外，其他部位都是褐色。在有多種池鷺屬物種共存的區域，非繁殖成鳥和亞成鳥無法與其他池鷺明確區分。由MERLIN技術支援,"Hong Kong Wetland Park, Hong Kong",11日 6月 2025年,https://ebird.org/species/chpher1/HK
紫鷺,Ardea purpurea,大型鷺，頭鏽紅色及頸部有條紋；亞成鳥體上整片帶鏽紅的褐色。喜好淡水草本沼澤且有高蘆葦和其他植被的環境。通常較蒼鷺隱蔽，很少在開闊的空間見到。僅容易與較大較壯的蒼鷺混淆，後者羽色整體較淡更灰，且有較粗的嘴。由MERLIN技術支援,"Hong Kong Wetland Park, Hong Kong",11日 6月 2025年,https://ebird.org/species/purher1/HK
斑翡翠,Ceryle rudis,黑白顯眼的翠鳥，有短而濃密的冠羽和光滑的全黑色嘴。咋看類似於冠魚狗，但較小，且有更明確的斑紋和較不直立的冠羽。成群活動，經常看到以對或小群覓食或棲息。在尋找獵物時經常在水上盤旋。棲於各種水邊棲息地，從湖泊，河口到紅樹林。由MERLIN技術支援,"Hong Kong Wetland Park, Hong Kong",11日 6月 2025年,https://ebird.org/species/piekin1/HK
灰頭鷦鶯,Prinia flaviventris,低地田野、濕地和草原的鮮豔鷦鶯。暗色頭部，白色喉嚨，眼和喙之間有淡白色條紋。背部呈褐色，帶有一絲橄欖色，腹部呈淡黃色。通常單獨或成對出現。在植被底層覓食，同時不斷上下擺動尾羽。山鷦鶯體型較大，腹部沒有黃色，且有更長更明顯的白色眉斑。由MERLIN技術支援,"Hong Kong Wetland Park, Hong Kong",11日 6月 2025年,https://ebird.org/species/yebpri1/HK
松雀鷹,Tachyspiza virgata,小型森林性猛禽。成鳥背面灰褐，頭頸部灰色更濃。胸腹部有橘色粗橫紋及斑點。整體羽色近似鳳頭蒼鷹成鳥，但鳳頭蒼鷹壯碩許多，腹面橘色調沒那麼濃，頭跟背部之間的羽色差異較明顯。幼鳥整體羽色較成鳥偏褐，胸腹部為褐色縱斑。由MERLIN技術支援,Hong Kong,11日 6月 2025年,https://ebird.org/species/besra1/HK
岩鷺,Egretta sacra,一種小型的，有白色型和暗色型的鷺，好岩岸。白色型個體通常是白色的，儘管有些可能會有灰色斑塊。暗色型個體完全是深灰色。兩種色型都有黃綠色的嘴和腿。白色型成鳥以其獨特的短腿外觀和明顯更粗的嘴與同區域的其他白鷺區別。由MERLIN技術支援,"Central - Yung Shue Wan ferry, Hong Kong",11日 6月 2025年,https://ebird.org/species/pacreh1/HK
紅冠水雞,Gallinula chloropus,常見於淡水和半鹹水的沼澤地，池塘，湖泊以及緩慢水道的沿邊植被。抽搐般的游動，步態隱秘地行走，尾巴常略微翹起，通常不潛水。注意尾部下方有大片白色橢圓形斑，及脇上白色條紋。成鳥有帶黃色尖端的紅色嘴；未成鳥的嘴和腿顏色較黯。比白冠雞更小，更隱秘，很少在開闊水域見到。由MERLIN技術支援,"Long Valley, Hong Kong",11日 6月 2025年,https://ebird.org/species/commoo3/HK
褐頭鷦鶯,Prinia inornata,一種常見的鷦鶯，樸素的灰褐色羽毛，隨分布區而略有不同色調。注意白而寬的眉斑和長長的尾羽，看起來好像鬆垮垮地黏在身上。繁殖鳥有黑色的喙和較短的尾羽。常見於各種棲地，特別是農地及濕地，但不會去有樹冠層的林地。個性大膽，常躲在在灌木叢裡，但在裸露棲枝上鳴唱。鳴唱聲是重複的一連串昆蟲般的顫音。鳴叫聲包括各種吱喳聲和叮叮聲。也會用翅膀發出拍擊聲。由MERLIN技術支援,"Long Valley, Hong Kong",11日 6月 2025年,https://ebird.org/species/plapri1/HK
斑文鳥,Lonchura punctulata,成鳥背部是溫暖的褐色，臉部深色，白色腹部滿布細小黑色鱗斑。幼鳥全身黃褐色，腹部顏色略淡。常在草生地和灌叢地的開闊區域組成小群活動，主要以種子為食。原產於南亞，但已在世界各地建立野生種群，包括澳洲、日本和美國南部部分地區。由MERLIN技術支援,"Long Valley, Hong Kong",11日 6月 2025年,https://ebird.org/species/nutman/HK
八聲杜鵑,Cacomantis merulinus,小型且修長的杜鵑，聽到的機會高於看到；雄鳥的鳴唱聲是逐漸加快但逐漸小聲，先幾個長哨聲，後面接著幾個短促的氣音。雄成鳥及一般型(非赤色型)的雌鳥腹部橘色，頭灰色，背及尾巴褐色。赤色型背面鏽褐色，腹面白色，全身密布黑色橫紋。棲息於開闊樹林以及農墾地。由MERLIN技術支援,"Chinese University of Hong Kong, Hong Kong",11日 6月 2025年,https://ebird.org/species/placuc1/HK
白頰山雀,Parus cinereus,"Large and pugnacious, this common tit is found in a wide range of wooded habitats, from dense hill forests to manicured city parks throughout much of Asia from India to Indonesia. Adult has a flashy white cheek on a black head, a black stripe on a white belly, and gray wings; East Asian birds have a hint of green near the shoulder. Juveniles are duller, replacing the adult’s black with gray. Very vocal; song is a bright “tzi-hei tzi-hei!” or “tzee-tzee-tzee-tzee”; also gives loud chips, seeps, and harsh scolding “tzi-tzi-tzshhhhhh.” Formerly treated as two separate species, Japanese Tit and Cinereous Tit.由MERLIN技術支援",Hong Kong,11日 6月 2025年,https://ebird.org/species/cintit13/HK
小杜鵑,Cuculus poliocephalus,與多種杜鵑一樣，本種也通常是憑藉其鳴唱聲發現的；小杜鵑的鳴唱聲為一系列雜亂的音節，常被比作“陰天打酒喝（喝）”，後半段比前半段響亮。大部分成鳥整體為灰色，白色的下體具黑色橫紋，虹膜深色。有些雌鳥上體為亮麗的紅褐色，且雙翼及背部具深色橫紋。幼鳥上體棕色且飛羽常帶白色邊緣。整體來說較其他杜鵑更小且更緊實及矮胖。在低地和山麓林地的樹冠層鳴唱及覓食；冬季喜松樹。由MERLIN技術支援,"Tai Lam Country Park, Hong Kong",11日 6月 2025年,https://ebird.org/species/lescuc1/HK
Yellow-cheeked Tit,Machlolophus spilonotus,"This dashing medium-sized tit can be found in broadleaf and mixed hill forests, as well as adjacent parks and gardens. Utterly unmistakable, with a bright yellow face and nape, which contrast smartly with a black crest, throat, and breast. Wings are gray and black with white spots and bars. Gregarious; often in small flocks of its own species or with large mixed feeding flocks. Song is a bright, repetitive “chew-wee-ee, chew-wee-ee, chew-wee-ee.” Calls vary, but usually incorporate several sharp notes and one or two lower, buzzier notes.由MERLIN技術支援","Tai Lam Country Park, Hong Kong",11日 6月 2025年,https://ebird.org/species/yectit1/HK
中白鷺,Ardea intermedia,一種比黃頭鷺和小白鷺大的體型敦實的白鷺，但比大白鷺小。常令人混淆且難以識別，這種鳥的體型真正介於潛在的易混淆物種之間。可尋找的特徵包括比大白鷺短但比黃頭鷺長的黃色喙，頭部比較圓，腿比大白鷺短，接近黃頭鷺。在亞洲族群中，嘴在繁殖季變為黑色；這些鳥可通過其完全黑色的腳和較短的嘴與小白鷺區別開來。像大多數白鷺一樣，棲於所有類型的水體環境，包括濕地，通常與其他白鷺成群活動。由MERLIN技術支援,"Pui O, Hong Kong",11日 6月 2025年,https://ebird.org/species/integr1/HK
蒼鷺,Ardea cinerea,一般在濕地環境，從草本沼澤和潮灘到小池塘，溝渠和濕地，都極常見且顯眼；在大樹上集體築巢。常見以單隻或小群活動，靜靜地站在水裡或水邊，不常在田裡獵食。羽毛整體呈灰色，頸部較淺；成鳥有白冠，黑色眉毛和黑色肩部。像其他蒼鷺和白鷺一樣，飛行的時候頭部後缩成一坨凸起。由MERLIN技術支援,"Pui O, Hong Kong",11日 6月 2025年,https://ebird.org/species/graher1/HK
Scarlet-backed Flowerpecker,Dicaeum cruentatum,"One of many flowerpeckers in which the male is brightly-colored and the female is predominantly brown. Adult male is black and white from below, but above it is bright red from the crown down to the rump. The female, while largely dull, can be distinguished from other flowerpeckers by her bright red rump that is often visible when hovering and foraging. Juvenile lacks the red rump, but has a white throat and is a much darker brown above than the similar Plain Flowerpecker. A lowland species, often found in gardens with flowering and fruiting plants, particularly mistletoe. Often detected through its metallic ticking calls.由MERLIN技術支援",Hong Kong,11日 6月 2025年,https://ebird.org/species/scbflo1/HK
Yellow-crested Cockatoo,Cacatua sulphurea,"A medium-sized white cockatoo with a yellow crest; rare and endangered throughout its native range but has several strong naturalized populations across Asia. Raucous and social, usually seen in large flocks flying noisily over forested areas. Noticeably smaller than the similarly-colored Sulphur-crested Cockatoo; no natural range overlap, but the two coexist in parts of their introduced range, such as Singapore.由MERLIN技術支援","Hong Kong Park, Hong Kong",10日 6月 2025年,https://ebird.org/species/yeccoc1/HK
東方金腰燕,Cecropis daurica,"Brightly-colored swallow with a deeply forked tail, pale orangish rump, black squared-off undertail coverts, and an incomplete orange collar. The underparts are always streaked, though there is geographical variation, with streaks ranging from fine and sparse to thick and heavy. Juveniles average paler and lack extensive orangish tones; may resemble house-martins but note deeply forked tail. Builds mud nests on mountains, cliffs, and on human structures. Forages over open areas. Frequently gives a short, sparrow-like “twi’wit.” Usually separated from European Red-rumped Swallow by range, but in case of any overlap, should be separated by evenly cinnamon rump (vs. bicolored), dark lores, dark stripe on nape, and bolder streaking on underparts.由MERLIN技術支援","Long Valley, Hong Kong",10日 6月 2025年,https://ebird.org/species/y00621/HK
白腰文鳥,Lonchura striata,農地、草原、灌叢和林緣的常見鳥種；常組成中等大小群聚。在其廣闊分布區中外型有所差異，但不論位於何處，此物種都有黑色的臉、褐色的背部和翅膀，以及白色腹部和腰部。西部族群的胸部顏色較深，如同戴了頭套一般。在世界各地都是常見的籠養寵物鳥，加上馴養的「十姊妹」逸出，可能出現各式各樣顏色與外型。由MERLIN技術支援,"Long Valley, Hong Kong",10日 6月 2025年,https://ebird.org/species/whrmun/HK
灰斑鳩,Streptopelia decaocto,"Large pale dove with a black crescent on the nape. Slightly smaller and paler than Rock Pigeon, with a proportionately longer, square-tipped tail. Favors farms and suburbs; avoids areas with extensive forests. Typically seen in pairs or small loose groups; forms larger flocks in winter. Widespread and common throughout much of Eurasia and northern Africa. Introduced to, and established in, much of North America, the Caribbean, and parts of Central America. Compare with African Collared-Dove, which may occur in small feral populations or as an escapee throughout Eurasian Collared-Dove’s range. Especially note tail pattern from below: mostly white, contrasting with the grayish undertail coverts, and with black extending down the outer edge of the tail feathers. Voice - a cooing “woop-WOOO!-woop” - is also helpful.由MERLIN技術支援","San Tin, Hong Kong",10日 6月 2025年,https://ebird.org/species/eucdov/HK
小鸊鷉,Tachybaptus ruficollis,會潛水的小型鳥，相當普遍但不太起眼，棲息於周邊有蘆葦或其他植被的溼地。很少乖乖待在同一個地點讓你看；極少離開開闊水面(主要都待水裡)。體型相當小巧，頭圓但後腦杓有點蓬。通常單隻或成鬆散的小群，白天常見到在睡覺。繁殖羽往往看起來整隻暗色，光線好時注意暗鏽紅色的頭頸側以及嘴基部的黃色斑。非繁殖羽整體呈現髒髒的淺褐色調，頭頂暗色。由MERLIN技術支援,"San Tin, Hong Kong",10日 6月 2025年,https://ebird.org/species/litgre1/HK
黃小鷺,Botaurus sinensis,棲於沼澤，植被豐富的濕地，體型很小的鷺，在其棲地環境中相當顯眼。成鳥背部為淡橙褐色或黃色，取決於光線，有細長的黑色頂。亞成鳥背羽暗褐色，有淡色羽緣。在飛行中，兩者都可見深色飛羽與淺黃翼覆羽的明顯對比。由MERLIN技術支援,"San Tin, Hong Kong",10日 6月 2025年,https://ebird.org/species/yelbit/HK
翠鳥,Alcedo atthis,相當普通但很小，往往很害羞且不顯眼。見於河流，溪流，湖泊和池塘，幾乎所有有小魚的淡水或鹹水棲息地。經常悄悄停在水面上方的樹枝；最常見的是其極快地低空飛過，像一抹綠松石色閃過水面，通常都是飛走。美麗的藍橙色羽毛，結合其棲息地和習性，基本上不會辨識錯誤。即使鳥本身不可見，只要聽到其尖銳高頻的叫聲就可辨識。由MERLIN技術支援,"San Tin, Hong Kong",10日 6月 2025年,https://ebird.org/species/comkin1/HK
棕背伯勞,Lanius schach,亞洲地區開闊棲地典型的喧鬧大型伯勞。成鳥背部淺灰色，下背部及腹側有不同程度的橙色，以及黑色眼帶，但某些分布在東側的亞種頭部全黑。體型較小的棕赤背伯勞(Bay-backed Shrike)眼帶更寬；西藏伯勞(Gray-backed Shrike)則背部顏色較深、缺少橙色及翅膀的白點。幼鳥難以與其他伯勞幼鳥區分。聲音響亮而粗糙，但也經常模仿其他鳥種的叫聲。由MERLIN技術支援,"San Tin, Hong Kong",10日 6月 2025年,https://ebird.org/species/lotshr1/HK
玉頸鴉,Corvus torquatus,棲於農地，田野和其他開闊空間的獨特烏鴉。黑色白頸圈從從頭後一直延伸到胸部，並在此處變窄成一條細帶。表面上類似於東方寒鴉的成鳥，但後者更緊緻更小，而白頸圈一直延伸到腹部，而不是停在胸部。比起小嘴烏鴉和巨嘴鴉，其叫聲音更高。以前很普遍，但現在僅局部分布而不常見。由MERLIN技術支援,"San Tin, Hong Kong",10日 6月 2025年,https://ebird.org/species/colcro1/HK
灰背椋鳥,Sturnia sinensis,開闊農田和田野中的柔潤銀灰色椋鳥。雄成鳥有柔和的褐色頭部，藍色的喙和白色腹部。雌鳥顏色較深，從頭部向下延伸到腹部和背部的灰褐色。雌雄鳥都有白色腰部、黑色翼尖和亮白肩斑。常與其他椋鳥組成大群，尤其是灰椋鳥和絲光椋鳥。由MERLIN技術支援,"San Tin, Hong Kong",10日 6月 2025年,https://ebird.org/species/whssta2/HK
大冠鷲,Spilornis cheela,體態結實的森林性大型褐色猛禽。停棲時，可由這幾點特徵迅速辨識出來：鮮黃色的眼先部裸皮、布滿白斑點的腹面，以及鬆散的黑白羽冠。成鳥飛行時，注意其翼下及尾部的黑白寬帶。淡色型幼鳥整體偏白，臉部暗色如戴面罩，翅膀褐白相間。如同蛇鵰這個名字所指出的，蛇類佔了牠們食物組成的大部分，但牠們也吃從蚯蚓到大型鳴禽等其他動物。由MERLIN技術支援,"Shing Mun, Hong Kong",10日 6月 2025年,https://ebird.org/species/crseag1/HK
栗背短腳鵯,Hemixos castanonotus,鵯科鳥類，不僅棲息於淺山森林、丘陵，也棲息於和淺山相接的公園、農地和花園中。背部整體為栗褐色調，腹部為汙白色，具不明顯黑色冠羽。常成小群至中群集體活動，偶爾羽其他鳥種混群。叫聲為一連串的喀嗒聲與咯咯聲，鳴唱為由三個音符組成的特殊旋律，最後一個音為柔和、嘶啞的口哨聲。由MERLIN技術支援,"Shing Mun, Hong Kong",10日 6月 2025年,https://ebird.org/species/chebul1/HK
Mountain Tailorbird,Phyllergates cucullatus,"Tiny warbler with a long bill and frequently cocked tail. Secretive, tending to stick to the brushy underlayer of hill and submontane forest. Often moves about solitarily, but can sometimes be found with mixed-species flocks, especially with small warblers and fulvettas. Green above and yellow below, with a pale gray throat. Somewhat resembles a Common or Dark-necked tailorbird, but only a fraction of the size, with a proportionally far longer bill, black eye-stripe, and bright orange forehead. Song is an extremely high-pitched tinkling series of whistled notes with an otherworldly quality. Calls include high descending trills and dry chittering.由MERLIN技術支援","Shing Mun, Hong Kong",10日 6月 2025年,https://ebird.org/species/moutai2/HK
小鶯,Horornis fortipes,小型褐色鶯，通常很害羞，很少遠離躲藏其中發出獨特鳴唱聲的灌叢和矮樹。鳴唱聲是一聲長長的口哨聲跟著一段短促清亮的聲音。鳴唱聲有點類似體型較大的遠東樹鶯和日本樹鶯，但是前段的口哨聲要長得多，且後面接續的音符不那麼輕柔圓潤。看到時顏色相當樸素；背面是深褐色，腹面是淺灰褐色。由MERLIN技術支援,"Shing Mun, Hong Kong",10日 6月 2025年,https://ebird.org/species/bfbwar1/HK
Streak-breasted Scimitar-Babbler,Pomatorhinus ruficollis,"An adaptable mid-sized scimitar-babbler found in a range of different habitats, including forests, scrubland, and parks. A bright banana-yellow bill, rusty neck patch, and warm brown wings and tail contrast sharply with a thick inky-black stripe through the eye and bright white brow and throat. Typically travels in flocks, giving loud hoots and slurred call notes while rustling about at mid and lower levels.由MERLIN技術支援","Shing Mun, Hong Kong",10日 6月 2025年,https://ebird.org/species/sbsbab3/HK
Velvet-fronted Nuthatch,Sitta frontalis,"One of the few nuthatches to break the general neutral color scheme of the family, this stunner can be quite common in lowland and foothill evergreen forests. Aquamarine upperparts, crimson bill, and black patch on the forehead make this active little species unmistakable. Forages by creeping along trunks and branches, often upside down. Often moves in groups, frequently as a member of mixed-species flocks. Song is a high-pitched chittering trill; calls like isolated fragments of song.由MERLIN技術支援","Shing Mun, Hong Kong",10日 6月 2025年,https://ebird.org/species/vefnut1/HK
磯鷸,Actitis hypoleucos,小型的雙色丘鷸科鳥種，常以獨特的、像鶺鴒屬鳥類樣地擺動尾巴。單調褐色，體下白；以其肩膀顯眼的刺狀白斑可與較壯且頭較圓的白腰草鷸區分。見於各種濕地棲息地；在沿河和湖岸的石質地面繁殖，遷移鳥棲於泥濘和岩石基質地面，包括混凝土運河岸到潮汐泥灘的渠道。主要單獨或小群活動，不集成大群或與其他鳥種混群。由MERLIN技術支援,"Tai Sang Wai 大生圍, Hong Kong",10日 6月 2025年,https://ebird.org/species/comsan/HK
燕鴴,Glareola maldivarum,長而有棱角的翅膀在飛行中扭轉和翻動，這種丘鷸科鳥類和鴴的親戚在飛行中給人一種燕子般的印象。成鳥整體褐色，有優雅的黑色項鍊（喉環）和淡黃色喉嚨。在飛行中，可見暗色飛羽，栗色翼下覆羽和亮白色腰。亞成鳥體上斑駁灰褐色，無成鳥的喉環。飛行時發出刺耳的“tarrack”。由MERLIN技術支援,"Tai Sang Wai 大生圍, Hong Kong",10日 6月 2025年,https://ebird.org/species/oripra/HK
灰喜鵲,Cyanopica cyanus,該種類喧鬧，喜社交且活躍，在人工棲息地（例如城市公園和花園）引人注目，在遠離人類住區時偏愛的開闊森林中也同樣顯眼。 輪廓比喜鵲圓滑，尾巴且纖細。在移動時發出喧鬧的尖叫聲，常在被看見前就听到了。由MERLIN技術支援,"Tai Sang Wai 大生圍, Hong Kong",10日 6月 2025年,https://ebird.org/species/azwmag2/HK
青足鷸,Tringa nebularia,眼神溫柔的大型涉禽，有著略微上翹的嘴。注意整體灰色，白色腹部和綠色腿。飛行中看上去上面黑色，寬闊的白色條紋（從腰部）延伸到背部中間。比赤足鷸略大且較瘦長。通常單獨或小群活動。主要在水中走動，以啄食和用嘴橫掃覓食。在北歐和亞洲的廣泛區域繁殖；遷移至非洲，南亞和澳大利亞，見於各種不同的濕地棲息地。由MERLIN技術支援,"Mai Po Nature Reserve, Hong Kong",10日 6月 2025年,https://ebird.org/species/comgre/HK
黑面琵鷺,Platalea minor,大型白色水鳥，有長的飯匙狀的嘴。繁殖期成鳥頭部有長飾羽，胸部有黃色。整個面部為黑色裸皮，使其與白琵鷺區分開，白琵鷺是其棲地範圍內唯一的其他琵鷺。經常聚集成大群，偶爾與白琵鷺混在一起。在泥灘，河口，湖泊和大型草本沼澤地覓食，經常在水中橫向掃動來篩捕水生無脊椎動物。由MERLIN技術支援,"Mai Po Nature Reserve, Hong Kong",10日 6月 2025年,https://ebird.org/species/blfspo1/HK
灰椋鳥,Spodiopsar cineraceus,這種時常看來骯髒的椋鳥在許多開闊棲地中很常見。全身深灰褐色，有不同大小的白色臉頰；白斑有時可以覆蓋大部分頭部。白色腰部在覓食時會被遮住，但飛行時卻很明顯。成群覓食時，會不斷發出喋喋不休的高亢叫聲。由MERLIN技術支援,"Mai Po Nature Reserve, Hong Kong",10日 6月 2025年,https://ebird.org/species/whcsta1/HK
叉尾雨燕,Apus pacificus,暗色的大型雨燕，飛行時輪廓角度像是摺紙折出來的一般。全身大部分黑色，喉部較淡，腰部白色。飛行時明顯可見分叉的長尾，轉彎時經常會打開。遷徙時會成大群，飛行中會發出尖聲的顫音。叉尾雨燕在幾年前分成四種，彼此的外表極為相似，最好是由分布地區來辨別種類。由MERLIN技術支援,"Long Valley, Hong Kong",10日 6月 2025年,https://ebird.org/species/fotswi/HK
翠翼鳩,Chalcophaps indica,體色明亮，讓人印象深刻。在森林底層活動，具有鮮綠色的翅膀，珊瑚紅色的嘴和灰色的前頭。 雄鳥好像戴著大銀帽，雌鳥則無。經常在良好遮蔭的小徑遇到。叫聲為重複的咕咕聲，類似「地-嗚、 地-嗚~、 地-嗚、 地-嗚~」。由MERLIN技術支援,"Bride's Pool, Hong Kong",10日 6月 2025年,https://ebird.org/species/emedov2/HK
Speckled Piculet,Picumnus innominatus,"Unique tiny woodpecker with olive-yellow wings, brown-and-white striped head, and black-spotted white breast and belly. Other piculets in range look very different, being mostly unmarked. Call is an extremely high “tsik tsik tsik.” Drums very loudly for such a diminutive bird. Widespread, found in lowland and foothill forests, often in areas with bamboo stands.由MERLIN技術支援","Bride's Pool, Hong Kong",10日 6月 2025年,https://ebird.org/species/spepic1/HK
綠畫眉,Erpornis zantholeuca,小的，有冠狀飾羽的，類似鳳鶥屬鳥類的鳥，在各種森林棲地中常被觀察到為混群的一部分。體上為單色調的黃綠色，並平滑地融入灰白的胸部和腹部。從下面看時，亮黃色泄殖口通常很明顯。傾向於在樹葉的上層活動，從中常可聽到其響亮的“ nay nay”叫聲。由MERLIN技術支援,"Bride's Pool, Hong Kong",10日 6月 2025年,https://ebird.org/species/whbyuh1/HK
樹鵲,Dendrocitta formosae,低地，丘陵森林和花園的常見居民，這種長尾鴉科鳥種整體呈灰色，並帶有濃濃的一層褐色，尤其是在脖子和背部。臉，翅膀和尾巴都深色。翼上白斑在飛行時會閃現，但很小，停著的時候容易被忽視。從下面看時，按長度依次排列的尾巴和亮橙色的泄殖口通常很突出。喧鬧，有各種各樣的鳴叫聲；有嘹亮的“葛葛哩-”和“嘎-嘎-嘎”，但也有優美的口哨聲。由MERLIN技術支援,"Bride's Pool, Hong Kong",10日 6月 2025年,https://ebird.org/species/grytre1/HK
綠啄花,Dicaeum minullum,鳥如其名的小巧啄花鳥，常看到在花朵四周懸停，或將頭深深探入。背部欖褐色，腹部則較暗淡。暗淡的臉和大大的黑眼賦予牠「可愛」的外貌。沒有特徵本身就是特徵；分布區內的其他啄花鳥都有斑紋或有明亮色塊。表現出對槲寄生的強烈偏好，常可以看到牠單獨或成對圍繞著槲寄生的果實和花朵。由MERLIN技術支援,Hong Kong,10日 6月 2025年,https://ebird.org/species/plaflo2/HK
Pygmy Cupwing,Pnoepyga pusilla,"Essentially a tiny brown tennis ball supported by tiny chopsticks. Dark brown above with densely packed black-and-white scaling on the underside. Gives the impression of a tailless rodent as it makes its way furtively through dense shrubbery and leaf litter. Can be quite vocal and is jarringly loud for its size, giving single well-spaced piercing whistles on different high pitches, and occasionally an accelerating, usually rising rapid series of whistles. Also gives a sharp chip.由MERLIN技術支援","Tai Po Kau Nature Reserve, Hong Kong",10日 6月 2025年,https://ebird.org/species/pywbab1/HK
家烏鴉,Corvus splendens,"A slender, blackish medium-sized crow with a long bill. The grayish nape and sides form a paler collar that contrasts with the glossy black body. Primarily a scavenger, feeding on leftover rubbish from humans. Found in a wide range of habitats mostly around human habitation. Their call is a loud and harsh “kaa kaa kaa.”由MERLIN技術支援",Hong Kong,10日 6月 2025年,https://ebird.org/species/houcro1/HK
Chinese Francolin,Francolinus pintadeanus,"Gamebird of dry, shrubby areas; especially common in hilly and montane regions. Male has white cheeks and rufous on the crown, shoulders, and vent, but is predominantly covered with delicate black-and-white scaling. Female is similarly intricate in her patterning but is browner and less bright overall. Singing males often stand on exposed rocks and hilltops to give their song, a metallic series of notes often likened to “come-to-the-peak-ah-ah!”由MERLIN技術支援",Hong Kong,10日 6月 2025年,https://ebird.org/species/chifra1/HK
灰腳秧雞,Rallina eurizonoides,居住在茂密樹林及濃密林緣的小型似雞鳥類。深褐色背部，有橙色的頭胸部及黑白條紋的腹側。幼鳥外型相似但頭胸部為褐色，腹部白色條紋較窄。深鉛灰色腳，可以與紅腳秧雞、斑脇秧雞和緋秧雞作區別，牠們的腹部花紋也有所不同。夜晚時會在喜愛的樹木棲枝處鳴唱，發出一連串兩音節的呼呼聲，會讓人聯想到黃嘴角鴞。由MERLIN技術支援,Hong Kong,10日 6月 2025年,https://ebird.org/species/sllcra1/HK
蒼翡翠,Halcyon smyrnensis,大頭，主體是褐色的翠鳥，有電藍色背部和翅膀，厚重的橙色嘴，以及從喉嚨向下延伸到腹部的雪白色大斑塊。在水附近和遠處都常見；經常看到停在濕地，湖泊，農田和空地附近的柵欄和電話線上。通常在飛行中發出尖銳響亮的猛禽般的漸弱顫音和咯咯聲。由MERLIN技術支援,Hong Kong,10日 6月 2025年,https://ebird.org/species/whtkin2/HK
灰胸秧雞,Lewinia striata,背部和腹部的錯綜複雜條紋，灰色喉嚨及胸部以及紅褐色冠和頸背的組合將這只偷偷摸摸的鳥與其類似物種分開。像許多其他秧雞科鳥種一樣，在沼澤、濕潤的草原、氾洪的牧場和紅樹林的茂密植被中不引人注意地走動。偶爾在植被附近的開闊區域覓食，特別是在清晨和傍晚。叫聲包括一系列乾而快且逐漸加快的敲打聲；乾而粗糙的金屬聲“ krrrr”；和單音的簡短“咕”聲。由MERLIN技術支援,Hong Kong,10日 6月 2025年,https://ebird.org/species/slbrai1/HK
亞歷山大鸚鵡,Psittacula eupatria,"Large and long-tailed green parakeet with a bright red beak. Female lacks male’s pink-and-black ring around the neck. Note the very long tail. Similar to significantly smaller Rose-ringed Parakeet; note Alexandrine’s dark red shoulder patches and larger bill. Raucous and loud; gives piercing screeches and screams. Found in both dry and wet forest, typically in lowlands but occasionally in foothills. Native to South and Southeast Asia, introduced to parts of Europe and Hong Kong.由MERLIN技術支援","Kowloon Park, Hong Kong",9日 6月 2025年,https://ebird.org/species/alepar2/HK
栗小鷺,Botaurus cinnamomeus,體型很小的鷺，棲於潮濕和開闊的草地，如草甸和稻田。成年雄鳥整個體上呈均勻明亮的紅褐色，極易辨識。雌鳥和亞成鳥的腹部有淡條紋，翅膀和背部散落著深色條紋和斑點，並且呈深褐色帶一些紅褐色調。雌鳥翅膀上常有淡斑點，可能會與秋小鷺雌鳥混淆，後者的白斑點更亮，更明確且是明顯的深褐色而無栗紅色調。由MERLIN技術支援,"Hong Kong Wetland Park, Hong Kong",9日 6月 2025年,https://ebird.org/species/cinbit1/HK
髮冠卷尾,Dicrurus hottentottus,這隻大黑鳥因其命名的細絲狀冠羽常常觀察不到；翅膀上的金屬藍色光澤，及頸部上稍不明顯的金屬藍色光澤，是其更好的識別特徵。帶有捲邊的方形尾部也可作為這個物種與許多其他類似的卷尾科鳥類區分開來的特症，例如小卷尾，其有明確的叉尾。鳴叫聲變化多端，從粗啞的尖叫聲到和婉轉的哨聲都有。由MERLIN技術支援,"Fung Lok Wai, Hong Kong",9日 6月 2025年,https://ebird.org/species/hacdro1/HK
Chinese Barbet,Psilopogon faber,"A brightly-colored inhabitant of tropical forest canopies. Slow moving and well camouflaged; its loud and far-carrying song, combined with its secrecy, ensure that it is usually heard far more often than seen. If seen well, combination of red-and-yellow throat, blue ear, black crown, and green body distinguish it from any other similarly sized birds in its range. Regularly visits fruiting trees.由MERLIN技術支援","Ho Chung Valley, Hong Kong",9日 6月 2025年,https://ebird.org/species/chibar1/HK
紅嘴黑鵯,Hypsipetes leucocephalus,大型鵯科，有黑頭型與白頭型兩種類群；前者主要在其世界分布的西方佔優勢，而後者則是在東方佔優勢。兩者身軀皆為黑色，具不明顯冠羽、深紅色的嘴喙和腿部。較長的尾巴和嘴喙，使其身形看起來較其他鵯科鳥類要修長。常聚集成大群集體活動，吵雜地在有果實的樹上移動。常見於山地森林，但也經常出沒於淺山森林、公園之中。由MERLIN技術支援,"Tai Lam Country Park, Hong Kong",9日 6月 2025年,https://ebird.org/species/blabul1/HK
